testTrace,count
infection,187
treatment,93
testing,57
diagnosis,50
detection,47
isolation,37
quarantine,27
prevalence,26
screening,23
social distancing,20
tracing,12
social distancing,,9
contact tracing,6
contact tracing,,6
counseling,5
polymerase chain reaction,4
physical distancing,3
contact tracing.,3
reverse transcription polymerase chain reaction,3
rapid influenza diagnostic test,2
immunofluorescence,2
polymerase chain reaction.,1
neutralization test,1
nucleic acid test,1
enzyme linked immunosorbent assay,1
neutralization test.,1
virus detection,1
social distancing.,1
reverse transcription polymerase chain reaction.,1
physical distancing,,1
physical distancing.,1
