zoonosis,count
Influenza,42
Ebola,40
coronavirus disease 2019,34
Dengue,28
Middle East respiratory syndrome,25
Covid-19,25
SARS-CoV-2 infection,20
Severe acute respiratory syndrome,9
Coronavirus disease 2019,7
2019 novel coronavirus pneumonia,6
swine flu,5
coronavirus disease 2019;,5
human influenza,4
influenza infection,4
Dengue Fever,4
Dengue fever,4
SARS-CoV-2 infection.,4
Rift Valley fever,4
COVID-2019,3
SARS-CoV-2 infection,,3
H1N1 Influenza,3
Japanese encephalitis,3
Rift Valley fever.,2
MERS-Cov,2
Ebola hemorrhagic fever,2
coronavirus disease 2019.,2
Dengue Fever,,2
influenza infection.,2
avian flu,,1
COVID19,1
influenza infection,,1
bird flu,,1
SARS-CoV infection,1
Marburg hemorrhagic fever,,1
avian flu,1
MERS coronavirus,1
dengue disease,,1
Smallpox,1
swine flu,,1
H1N1 Influenza,,1
Marburg virus disease,1
bird flu,1
COVID 19,,1
Middle East respiratory syndrome;,1
