241,249,140,131,110,127,64,80,55,39,31,25,28,13,9,5,12,12,7,9,0,5,10,6,3
219,219,125,125,90,105,66,74,50,37,29,19,26,11,7,4,10,10,5,7,0,2,7,5,3
148,149,91,90,69,77,50,53,37,30,21,14,19,8,8,3,7,8,4,8,0,1,6,2,3
143,146,89,85,69,82,40,52,31,27,16,15,16,7,5,2,7,8,4,5,0,1,7,2,2
124,125,79,77,62,75,31,45,22,16,18,8,12,4,11,1,10,7,4,2,2,1,5,6,2
121,121,81,72,52,60,40,40,26,25,16,10,16,6,3,3,7,6,3,7,0,1,4,2,1
107,107,73,74,64,64,27,38,26,21,15,7,12,5,4,3,9,7,2,3,0,1,4,3,2
106,107,68,64,61,62,30,36,26,21,15,7,11,5,6,3,6,5,3,1,0,0,5,2,1
83,83,54,53,42,58,25,29,21,12,12,9,7,6,7,1,5,3,2,2,2,0,5,3,1
87,86,42,50,47,51,24,35,16,13,15,9,5,4,4,2,5,2,2,2,0,2,5,3,1
76,77,44,49,40,43,19,24,17,10,11,5,10,3,5,1,5,2,1,2,0,2,3,4,0
55,55,40,35,26,34,22,18,15,14,7,7,5,3,2,2,1,2,2,3,0,0,2,0,1
39,42,33,23,22,26,24,24,17,18,4,4,10,2,3,5,3,1,2,1,0,1,1,1,1
53,53,32,38,31,27,16,18,17,7,11,4,7,2,3,1,3,3,0,2,0,1,4,1,1
32,33,23,22,19,26,9,13,7,8,2,4,3,3,2,0,2,3,0,2,0,0,3,0,1
46,46,32,26,21,36,7,15,11,14,4,6,6,3,2,0,2,2,0,2,0,0,1,0,1
38,37,26,20,16,21,10,11,3,5,5,3,3,3,2,1,3,3,0,2,0,0,1,1,0
36,36,24,23,16,20,10,11,3,5,6,1,1,1,1,2,0,1,1,0,0,0,1,2,0
35,35,18,13,13,17,9,10,5,4,3,1,4,0,2,0,2,0,0,0,0,0,2,0,0
17,20,19,11,9,16,17,7,3,4,1,2,0,1,1,5,0,1,1,0,0,1,0,0,1
19,20,13,9,8,9,5,6,5,4,4,1,4,0,1,2,1,0,0,2,0,0,1,1,0
28,28,16,19,14,14,8,10,5,6,2,4,6,4,0,2,1,2,0,1,0,0,2,0,0
26,27,19,17,15,13,9,10,4,8,3,1,4,1,4,1,0,3,1,1,1,0,2,1,0
21,21,15,12,14,13,3,7,7,9,1,4,5,3,3,0,2,1,2,0,2,2,2,1,1
11,12,12,5,6,9,11,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
