virus,count
human coronavirus,287
human immunodeficiency virus,170
dengue virus,87
chikungunya virus,54
yellow fever virus,36
vaccinia virus,29
coxsackievirus,22
poliovirus,22
influenza a virus,19
zika virus,16
dengue virus,,16
measles virus,15
rabies virus,15
human coronavirus.,15
vesicular stomatitis virus,13
human immunodeficiency virus,,13
human rhinovirus,12
human coronavirus,,11
human cytomegalovirus,10
varicella-zoster virus,10
yellow fever virus,,9
ebolavirus,9
echovirus,8
measles virus,,7
human parainfluenza,7
dengue virus.,7
human immunodeficiency virus;,7
human respiratory syncytial virus,7
human enterovirus,6
rabies virus,,5
chikungunya virus,,5
human cytomegalovirus,,4
venezuelan equine encephalitis,4
western equine encephalitis,4
sindbis virus,4
hepatitis c virus,4
human adenovirus,4
adeno-associated virus,4
dengue virus;,4
human immunodeficiency virus.,4
vesicular stomatitis virus,,3
zika virus,,3
yellow fever virus.,3
mumps virus,,3
hepatitis delta virus,3
cowpox virus,2
measles virus;,2
rabies virus;,2
yellow fever virus?,2
human herpesvirus 8;,2
rubella virus,2
vesicular stomatitis virus.,2
rabies virus.,2
variola virus,,2
nipah virus,2
torque teno virus,2
varicella-zoster virus,,2
variola virus,2
rift valley fever,2
vaccinia virus,,2
monkeypox virus,2
human coronavirus;,2
human rhinovirus,,1
vesicular stomatitis virus;,1
hepatitis a virus,1
encephalomyocarditis virus,,1
human adenovirus,,1
human herpesvirus 6,1
influenza a virus.,1
influenza a virus,,1
mumps virus,1
epstein-barr virus,1
chikungunya virus.,1
japanese encephalitis virus,1
horsepox virus,1
nipah virus,,1
vaccinia virus.,1
mumps virus;,1
ross river virus,1
human respiratory syncytial virus,,1
human enterovirus,,1
hepatitis delta virus,,1
hepatitis e virus,1
rift valley fever.,1
human herpesvirus 8,,1
lassa virus,1
hantaan virus,,1
simian foamy virus,1
